ZipCode,Total_Population,Male_Total,Female_Total,X0_to_19,X20_to_39,X40_to_59,X60_plus
30165,70,33,37,12,8,25,25
31905,9,5,4,2,3,2,2
35004,10427,5037,5390,2698,3394,2674,1661
35005,7942,3806,4136,2070,1961,2221,1690
35006,3121,1594,1527,830,688,970,633
35007,26225,12886,13339,7930,7120,7486,3689
35010,20816,9967,10849,5305,4897,5783,4831
35013,124,68,56,52,54,15,3
35014,4546,2453,2093,982,1226,1489,849
35016,16778,8183,8595,4428,3774,4727,3849
35019,2117,1068,1049,565,491,617,444
35020,27139,12796,14343,7555,6924,7459,5201
35022,18888,8956,9932,4748,4636,5413,4091
35023,25436,13005,12431,5920,6835,7243,5438
35031,7933,3985,3948,2212,1926,2146,1649
35032,66,29,37,20,18,16,12
35033,3403,1680,1723,861,773,1048,721
35034,5541,3671,1870,1045,2111,1667,718
35035,1581,780,801,423,402,462,294
35036,297,119,178,103,78,67,49
35040,14965,7230,7735,4195,5251,3516,2003
35042,5831,2854,2977,1490,1419,1538,1384
35043,9234,4505,4729,2861,2372,2709,1292
35044,7713,3581,4132,2187,1851,2071,1604
35045,14870,7237,7633,3990,3855,3918,3107
35046,5108,2545,2563,1349,1216,1461,1082
35049,3996,1997,1999,1112,1022,1087,775
35051,8787,4639,4148,2181,2413,2553,1640
35052,277,67,210,14,6,4,253
35053,2617,1322,1295,515,478,814,810
35054,4101,2029,2072,893,780,1265,1163
35055,19427,9305,10122,4924,5008,4909,4586
35057,12630,6265,6365,3347,2978,3631,2674
35058,9936,4959,4977,2684,2387,2702,2163
35060,414,192,222,101,98,126,89
35061,1465,702,763,331,344,438,352
35062,7944,3932,4012,2082,1852,2257,1753
35063,3866,1923,1943,1050,929,1126,761
35064,11458,5049,6409,3253,2853,3156,2196
35068,7232,3500,3732,1818,2459,1713,1242
35070,265,132,133,56,60,82,67
35071,15661,7285,8376,3729,3719,4435,3778
35072,5193,2547,2646,1350,1130,1575,1138
35073,2382,1148,1234,507,507,727,641
35074,93,47,46,28,19,33,13
35077,13142,6478,6664,3304,3216,3497,3125
35078,2082,1003,1079,534,423,656,469
35079,8810,4392,4418,2448,2193,2523,1646
35080,15881,7645,8236,5241,4558,4361,1721
35082,7,3,4,1,2,4,0
35083,3268,1616,1652,890,798,908,672
35085,8933,4377,4556,2525,2367,2431,1610
35087,2115,1069,1046,552,490,651,422
35089,2238,1093,1145,559,498,723,458
35091,2719,1317,1402,888,718,776,337
35094,14212,6902,7310,3477,3750,4064,2921
35096,7815,3866,3949,2028,1944,2352,1491
35097,1748,864,884,464,388,507,389
35098,1375,696,679,388,374,349,264
35111,16140,7886,8254,4141,4311,4679,3009
35112,801,404,397,216,228,245,112
35114,7172,3618,3554,2246,1900,2073,953
35115,14118,6788,7330,3800,4572,3413,2333
35116,4240,2058,2182,1089,890,1351,910
35117,5367,2611,2756,1377,1252,1583,1155
35118,3138,1480,1658,754,700,885,799
35119,116,52,64,26,18,37,35
35120,13842,6885,6957,4023,3929,3852,2038
35121,15570,7617,7953,4154,3767,4053,3596
35124,23020,11198,11822,6244,6589,6506,3681
35125,10456,5048,5408,2998,2790,2812,1856
35126,21725,10629,11096,5901,5161,6922,3741
35127,10099,4811,5288,2663,2202,3108,2126
35128,10197,4968,5229,2520,2363,3014,2300
35130,3233,1594,1639,757,717,972,787
35131,4159,2083,2076,1138,978,1203,840
35133,3907,1978,1929,1015,878,1156,858
35135,1812,909,903,460,416,592,344
35136,1796,923,873,337,357,561,541
35139,150,67,83,39,37,44,30
35143,3281,1637,1644,710,631,1057,883
35146,10948,6136,4812,2564,2770,3631,1983
35147,5468,2730,2738,1553,1732,1457,726
35148,2702,1250,1452,716,606,709,671
35149,630,308,322,172,162,177,119
35150,18472,8556,9916,4861,4542,5145,3924
35151,7632,3845,3787,1923,1673,2320,1716
35160,26822,13297,13525,6763,6803,7678,5578
35171,3281,1658,1623,922,868,925,566
35172,2986,1465,1521,749,712,874,651
35173,25176,12201,12975,7017,5533,7901,4725
35175,5041,2542,2499,1226,1098,1600,1117
35176,921,473,448,206,211,280,224
35178,3378,1641,1737,849,737,1050,742
35179,8958,4508,4450,2383,2121,2668,1786
35180,13794,6779,7015,3690,3460,3949,2695
35183,706,348,358,169,165,196,176
35184,5841,2934,2907,1631,1496,1650,1064
35186,4931,2489,2442,1332,1131,1436,1032
35187,32,19,13,8,11,5,8
35188,2715,1366,1349,807,712,755,441
35203,3798,2424,1374,490,1556,1210,542
35204,10337,4923,5414,2416,2561,3009,2351
35205,19686,9971,9715,3574,9101,4195,2816
35206,17177,7868,9309,4933,4176,5263,2805
35207,9010,4213,4797,2615,2091,2319,1985
35208,14855,6801,8054,4228,3766,4474,2387
35209,29544,14113,15431,7528,12135,6166,3715
35210,13952,6541,7411,3000,3688,3917,3347
35211,26236,11629,14607,6439,7328,6855,5614
35212,11539,5471,6068,3158,3456,3275,1650
35213,13185,6131,7054,3625,3122,3539,2899
35214,19592,8950,10642,5040,4560,5667,4325
35215,46951,21308,25643,14987,13190,12166,6608
35216,36408,17337,19071,9575,12225,8487,6121
35217,13729,6321,7408,3937,3360,3739,2693
35218,7353,3381,3972,2163,1904,2188,1098
35221,4834,2161,2673,1115,1029,1428,1262
35222,7884,3923,3961,1673,2521,2285,1405
35223,11043,5292,5751,3011,1816,3630,2586
35224,6094,2900,3194,1722,1522,1733,1117
35226,31471,15068,16403,8005,8165,8826,6475
35228,10419,4656,5763,3071,2501,3018,1829
35229,940,156,784,493,447,0,0
35233,1308,627,681,242,823,188,55
35234,6311,3098,3213,1328,1607,2054,1322
35235,19484,8926,10558,5157,5404,5338,3585
35242,49545,24273,25272,13566,12453,15730,7796
35243,17328,8177,9151,3729,5319,4575,3705
35244,32390,15510,16880,9043,8550,9804,4993
35254,1403,704,699,541,752,58,52
35401,39878,19395,20483,11708,18050,5783,4337
35404,21251,10509,10742,5289,8202,4721,3039
35405,37661,17735,19926,10344,12552,9311,5454
35406,13864,6647,7217,3547,3523,3810,2984
35441,1060,512,548,238,226,326,270
35442,4972,2321,2651,1399,1046,1425,1102
35443,2009,968,1041,610,441,587,371
35444,3699,1807,1892,1082,1097,987,533
35446,2234,1100,1134,618,528,677,411
35447,3460,1685,1775,878,844,1014,724
35452,3880,1978,1902,1075,923,1155,727
35453,11127,5552,5575,3056,3085,3148,1838
35456,3759,1875,1884,1037,887,1121,714
35457,82,46,36,22,10,37,13
35458,594,283,311,174,136,181,103
35459,872,395,477,207,169,268,228
35460,834,406,428,251,178,252,153
35461,1952,952,1000,409,377,637,529
35462,5061,2349,2712,1355,1011,1448,1247
35463,1749,875,874,455,390,553,351
35464,654,287,367,220,156,171,107
35466,6075,2928,3147,1669,1388,1729,1289
35469,221,111,110,47,37,72,65
35470,5468,2515,2953,1446,1769,1326,927
35473,14909,7182,7727,3616,4394,3891,3008
35474,6180,2995,3185,1771,1543,1770,1096
35475,14507,7174,7333,4157,3826,4236,2288
35476,8106,3627,4479,2049,2648,1602,1807
35477,335,159,176,87,71,98,79
35480,1343,650,693,352,352,369,270
35481,3668,1718,1950,934,737,1070,927
35490,3857,1953,1904,1148,1176,1013,520
35501,10424,5015,5409,2558,2667,2803,2396
35503,9068,4520,4548,2299,2103,2589,2077
35504,13596,6625,6971,3360,3099,3942,3195
35540,2415,1225,1190,613,574,674,554
35541,3597,1786,1811,747,671,1163,1016
35542,1021,531,490,256,223,296,246
35543,1137,580,557,291,274,322,250
35544,673,334,339,148,118,210,197
35545,100,46,54,22,16,21,41
35546,3901,1944,1957,1076,910,1056,859
35548,1558,749,809,366,351,408,433
35549,4341,2129,2212,1073,957,1241,1070
35550,5605,2662,2943,1382,1274,1637,1312
35552,1044,533,511,263,234,279,268
35553,4680,2281,2399,1139,1035,1381,1125
35554,1186,602,584,282,251,378,275
35555,10177,4960,5217,2528,2208,2856,2585
35559,57,28,29,22,11,17,7
35563,4340,2062,2278,1054,870,1220,1196
35564,2361,1151,1210,570,525,644,622
35565,13485,6637,6848,3424,3011,3912,3138
35570,11145,5709,5436,2554,2618,3157,2816
35571,895,454,441,216,206,269,204
35572,1131,571,560,266,204,367,294
35574,1507,767,740,314,289,441,463
35575,1018,489,529,248,219,287,264
35576,3217,1558,1659,740,687,897,893
35577,38,15,23,4,7,12,15
35578,5833,2883,2950,1514,1385,1709,1225
35579,3136,1532,1604,772,713,951,700
35580,3791,1843,1948,928,845,1138,880
35581,5778,2879,2899,1502,1390,1635,1251
35582,4093,1961,2132,1040,956,1094,1003
35584,460,219,241,115,109,135,101
35585,1418,711,707,372,291,459,296
35586,4469,2185,2284,1108,937,1313,1111
35587,1025,519,506,218,232,334,241
35592,4664,2237,2427,1193,1029,1316,1126
35593,1931,990,941,485,432,568,446
35594,7794,3815,3979,1911,1712,2193,1978
35601,34434,17115,17319,9243,9737,8798,6656
35603,30545,14720,15825,7994,7357,8886,6308
35610,2252,1099,1153,555,492,668,537
35611,25251,12155,13096,6354,6754,6783,5360
35613,20546,11334,9212,4880,5576,6625,3465
35614,7456,3773,3683,2046,1877,2153,1380
35615,68,32,36,18,12,29,9
35616,4043,1970,2073,921,834,1155,1133
35618,1870,874,996,461,444,536,429
35619,5135,2586,2549,1397,1231,1571,936
35620,8868,4448,4420,2549,2226,2612,1481
35621,2852,1444,1408,778,688,838,548
35622,7388,3659,3729,1856,1729,2120,1683
35630,32629,14944,17685,7952,9859,7447,7371
35633,20877,10275,10602,5238,4687,6253,4699
35634,9711,4727,4984,2338,1839,3076,2458
35640,24267,11911,12356,6583,5750,7163,4771
35643,2941,1424,1517,711,660,951,619
35645,14060,6853,7207,3722,3132,4151,3055
35646,4635,2244,2391,1113,988,1419,1115
35647,1030,524,506,278,223,308,221
35648,3635,1812,1823,957,753,1031,894
35649,68,33,35,14,7,25,22
35650,13971,6784,7187,3617,3213,4068,3073
35651,1312,657,655,364,326,349,273
35652,8190,3948,4242,1964,1758,2423,2045
35653,11150,5523,5627,3264,2962,2743,2181
35654,8685,4423,4262,2438,2351,2193,1703
35660,9042,4214,4828,2213,2237,2455,2137
35661,16617,8027,8590,4236,3772,4813,3796
35670,7676,3871,3805,1927,1706,2492,1551
35671,2107,1037,1070,540,462,698,407
35672,6445,3120,3325,1685,1468,1902,1390
35673,8199,4157,4042,2198,1944,2555,1502
35674,18475,8878,9597,4570,4236,5239,4430
35677,1921,997,924,464,446,584,427
35739,5146,2504,2642,1414,1293,1485,954
35740,3482,1696,1786,908,780,1007,787
35741,2933,1439,1494,737,540,981,675
35744,2570,1277,1293,695,597,728,550
35745,288,154,134,54,55,98,81
35746,856,430,426,232,215,248,161
35747,5901,2930,2971,1579,1330,1733,1259
35748,6276,3163,3113,1588,1254,2159,1275
35749,20575,10182,10393,6180,5092,6580,2723
35750,12783,6278,6505,3676,3096,3986,2025
35751,265,130,135,68,52,80,65
35752,2047,1001,1046,485,459,626,477
35754,5362,2689,2673,1362,1216,1635,1149
35755,586,301,285,105,88,166,227
35756,9016,4416,4600,2693,2377,2824,1122
35757,12840,6211,6629,3831,3217,4072,1720
35758,41875,20745,21130,12469,10286,13863,5257
35759,6406,3111,3295,1770,1481,1998,1157
35760,5065,2486,2579,1287,1224,1573,981
35761,11630,5745,5885,3377,3071,3470,1712
35763,14216,7016,7200,4408,2876,4534,2398
35764,653,332,321,152,148,196,157
35765,4013,2022,1991,1029,944,1145,895
35766,150,80,70,32,33,56,29
35768,11581,5632,5949,2802,2809,3239,2731
35769,9537,4619,4918,2304,2008,2691,2534
35771,3645,1820,1825,944,835,1076,790
35772,4908,2429,2479,1232,1177,1353,1146
35773,13018,6455,6563,3834,3547,3830,1807
35774,165,92,73,65,30,36,34
35775,636,333,303,153,140,214,129
35776,3395,1669,1726,872,764,1011,748
35801,21509,10593,10916,4337,5307,6114,5751
35802,21297,10167,11130,4600,4582,5916,6199
35803,25471,12438,13033,6259,5182,8358,5672
35805,22498,11395,11103,6009,8250,5312,2927
35806,18951,9396,9555,4452,6265,5397,2837
35808,1946,1305,641,754,967,210,15
35810,30617,14335,16282,8813,8283,7701,5820
35811,25955,12715,13240,6682,6381,7888,5004
35816,15228,7468,7760,3912,6408,3014,1894
35824,6070,3069,3001,1408,2561,1515,586
35896,636,147,489,321,310,4,1
35901,20045,9592,10453,4968,4882,5513,4682
35903,18088,8693,9395,4667,4550,5054,3817
35904,14194,6857,7337,3524,3311,3855,3504
35905,6410,3174,3236,1573,1447,1877,1513
35906,9897,4710,5187,2512,2340,2722,2323
35907,8345,4059,4286,2222,1924,2490,1709
35950,20826,10412,10414,6382,6167,4854,3423
35951,13098,6468,6630,4133,3540,3233,2192
35952,7727,3793,3934,2108,1826,2123,1670
35953,7319,3713,3606,1901,1759,2143,1516
35954,12416,6055,6361,3183,3039,3475,2719
35956,8842,4424,4418,2470,2041,2503,1828
35957,15693,7654,8039,4553,4075,3914,3151
35958,3582,1774,1808,923,813,1080,766
35959,4836,2393,2443,1114,940,1444,1338
35960,10087,4948,5139,2327,2077,2874,2809
35961,6514,3248,3266,1912,1716,1613,1273
