P0010001,state,zip code tabulation area
70,01,30165
9,01,31905
10427,01,35004
7942,01,35005
3121,01,35006
26225,01,35007
20816,01,35010
124,01,35013
4546,01,35014
16778,01,35016
2117,01,35019
27139,01,35020
18888,01,35022
25436,01,35023
7933,01,35031
66,01,35032
3403,01,35033
5541,01,35034
1581,01,35035
297,01,35036
14965,01,35040
5831,01,35042
9234,01,35043
7713,01,35044
14870,01,35045
5108,01,35046
3996,01,35049
8787,01,35051
277,01,35052
2617,01,35053
4101,01,35054
19427,01,35055
12630,01,35057
9936,01,35058
414,01,35060
1465,01,35061
7944,01,35062
3866,01,35063
11458,01,35064
7232,01,35068
265,01,35070
15661,01,35071
5193,01,35072
2382,01,35073
93,01,35074
13142,01,35077
2082,01,35078
8810,01,35079
15881,01,35080
7,01,35082
3268,01,35083
8933,01,35085
2115,01,35087
2238,01,35089
2719,01,35091
14212,01,35094
7815,01,35096
1748,01,35097
1375,01,35098
16140,01,35111
801,01,35112
7172,01,35114
14118,01,35115
4240,01,35116
5367,01,35117
3138,01,35118
116,01,35119
13842,01,35120
15570,01,35121
23020,01,35124
10456,01,35125
21725,01,35126
10099,01,35127
10197,01,35128
3233,01,35130
4159,01,35131
3907,01,35133
1812,01,35135
1796,01,35136
150,01,35139
3281,01,35143
10948,01,35146
5468,01,35147
2702,01,35148
630,01,35149
18472,01,35150
7632,01,35151
26822,01,35160
3281,01,35171
2986,01,35172
25176,01,35173
5041,01,35175
921,01,35176
3378,01,35178
8958,01,35179
13794,01,35180
706,01,35183
5841,01,35184
4931,01,35186
32,01,35187
2715,01,35188
3798,01,35203
10337,01,35204
19686,01,35205
17177,01,35206
9010,01,35207
14855,01,35208
29544,01,35209
13952,01,35210
26236,01,35211
11539,01,35212
13185,01,35213
19592,01,35214
46951,01,35215
36408,01,35216
13729,01,35217
7353,01,35218
4834,01,35221
7884,01,35222
11043,01,35223
6094,01,35224
31471,01,35226
10419,01,35228
940,01,35229
1308,01,35233
6311,01,35234
19484,01,35235
49545,01,35242
17328,01,35243
32390,01,35244
1403,01,35254
39878,01,35401
21251,01,35404
37661,01,35405
13864,01,35406
1060,01,35441
4972,01,35442
2009,01,35443
3699,01,35444
2234,01,35446
3460,01,35447
3880,01,35452
11127,01,35453
3759,01,35456
82,01,35457
594,01,35458
872,01,35459
834,01,35460
1952,01,35461
5061,01,35462
1749,01,35463
654,01,35464
6075,01,35466
221,01,35469
5468,01,35470
14909,01,35473
6180,01,35474
14507,01,35475
8106,01,35476
335,01,35477
1343,01,35480
3668,01,35481
3857,01,35490
10424,01,35501
9068,01,35503
13596,01,35504
2415,01,35540
3597,01,35541
1021,01,35542
1137,01,35543
673,01,35544
100,01,35545
3901,01,35546
1558,01,35548
4341,01,35549
5605,01,35550
1044,01,35552
4680,01,35553
1186,01,35554
10177,01,35555
57,01,35559
4340,01,35563
2361,01,35564
13485,01,35565
11145,01,35570
895,01,35571
1131,01,35572
1507,01,35574
1018,01,35575
3217,01,35576
38,01,35577
5833,01,35578
3136,01,35579
3791,01,35580
5778,01,35581
4093,01,35582
460,01,35584
1418,01,35585
4469,01,35586
1025,01,35587
4664,01,35592
1931,01,35593
7794,01,35594
34434,01,35601
30545,01,35603
2252,01,35610
25251,01,35611
20546,01,35613
7456,01,35614
68,01,35615
4043,01,35616
1870,01,35618
5135,01,35619
8868,01,35620
2852,01,35621
7388,01,35622
32629,01,35630
20877,01,35633
9711,01,35634
24267,01,35640
2941,01,35643
14060,01,35645
4635,01,35646
1030,01,35647
3635,01,35648
68,01,35649
13971,01,35650
1312,01,35651
8190,01,35652
11150,01,35653
8685,01,35654
9042,01,35660
16617,01,35661
7676,01,35670
2107,01,35671
6445,01,35672
8199,01,35673
18475,01,35674
1921,01,35677
5146,01,35739
3482,01,35740
2933,01,35741
2570,01,35744
288,01,35745
856,01,35746
5901,01,35747
6276,01,35748
20575,01,35749
12783,01,35750
265,01,35751
2047,01,35752
5362,01,35754
586,01,35755
9016,01,35756
12840,01,35757
41875,01,35758
6406,01,35759
5065,01,35760
11630,01,35761
14216,01,35763
653,01,35764
4013,01,35765
150,01,35766
11581,01,35768
9537,01,35769
3645,01,35771
4908,01,35772
13018,01,35773
165,01,35774
636,01,35775
3395,01,35776
21509,01,35801
21297,01,35802
25471,01,35803
22498,01,35805
18951,01,35806
1946,01,35808
30617,01,35810
25955,01,35811
15228,01,35816
6070,01,35824
636,01,35896
20045,01,35901
18088,01,35903
14194,01,35904
6410,01,35905
9897,01,35906
8345,01,35907
20826,01,35950
13098,01,35951
7727,01,35952
7319,01,35953
12416,01,35954
8842,01,35956
15693,01,35957
3582,01,35958
4836,01,35959
10087,01,35960
6514,01,35961
8300,01,35962
1704,01,35963
3914,01,35966
16630,01,35967
4575,01,35968
4914,01,35971
1139,01,35972
2870,01,35973
1589,01,35974
1058,01,35975
16272,01,35976
5390,01,35978
1398,01,35979
5161,01,35980
2141,01,35981
3738,01,35983
1889,01,35984
7744,01,35986
2666,01,35987
1940,01,35988
3573,01,35989
38,01,35990
1975,01,36003
1522,01,36005
1313,01,36006
2566,01,36009
4677,01,36010
562,01,36013
5150,01,36016
3318,01,36017
1123,01,36020
13092,01,36022
5428,01,36024
5729,01,36025
1089,01,36026
16261,01,36027
1746,01,36028
723,01,36029
491,01,36030
156,01,36031
2339,01,36032
4299,01,36033
807,01,36034
1913,01,36035
2003,01,36036
14074,01,36037
57,01,36038
253,01,36039
3976,01,36040
1318,01,36041
1500,01,36042
3666,01,36043
1490,01,36046
1396,01,36047
1459,01,36048
5706,01,36049
2304,01,36051
739,01,36052
1967,01,36053
15066,01,36054
6753,01,36064
19089,01,36066
26954,01,36067
1935,01,36069
766,01,36071
2226,01,36075
13179,01,36078
9339,01,36079
2271,01,36080
15267,01,36081
1667,01,36082
9563,01,36083
4767,01,36088
8760,01,36089
3648,01,36091
20274,01,36092
9456,01,36093
9468,01,36104
12043,01,36105
15211,01,36106
9589,01,36107
21306,01,36108
24777,01,36109
12997,01,36110
12176,01,36111
553,01,36112
1902,01,36113
623,01,36115
43790,01,36116
50268,01,36117
20156,01,36201
18799,01,36203
635,01,36205
11427,01,36206
19801,01,36207
4603,01,36250
5103,01,36251
969,01,36255
1570,01,36256
1599,01,36258
4247,01,36260
1448,01,36262
658,01,36263
8659,01,36264
21060,01,36265
5582,01,36266
35,01,36267
5432,01,36268
1395,01,36269
6023,01,36271
13389,01,36272
2914,01,36273
11199,01,36274
2592,01,36276
5420,01,36277
4366,01,36278
2645,01,36279
3932,01,36280
35759,01,36301
30217,01,36303
14470,01,36305
6783,01,36310
2770,01,36311
6187,01,36312
285,01,36313
595,01,36314
1722,01,36316
590,01,36317
1296,01,36318
2276,01,36319
3837,01,36320
1632,01,36321
9072,01,36322
8255,01,36323
35530,01,36330
5490,01,36340
1579,01,36343
5732,01,36344
7822,01,36345
1456,01,36346
6540,01,36350
3146,01,36351
4885,01,36352
1968,01,36353
20157,01,36360
4637,01,36362
972,01,36370
720,01,36371
581,01,36373
970,01,36374
7390,01,36375
2445,01,36376
8314,01,36401
10673,01,36420
9241,01,36421
1008,01,36425
16202,01,36426
2420,01,36432
579,01,36435
531,01,36436
583,01,36439
3576,01,36441
3555,01,36442
702,01,36444
5050,01,36445
490,01,36446
4977,01,36451
2198,01,36453
51,01,36454
465,01,36455
1820,01,36456
10738,01,36460
10058,01,36467
98,01,36470
1257,01,36471
106,01,36473
2926,01,36474
2208,01,36475
51,01,36476
4946,01,36477
1773,01,36480
593,01,36481
1090,01,36482
536,01,36483
18355,01,36502
1481,01,36505
19090,01,36507
1983,01,36509
764,01,36511
46,01,36512
555,01,36513
2842,01,36518
5431,01,36521
7183,01,36522
2818,01,36523
1232,01,36524
1935,01,36525
27890,01,36526
12109,01,36527
1237,01,36528
478,01,36529
6873,01,36530
27829,01,36532
26767,01,36535
374,01,36538
802,01,36539
691,01,36540
15647,01,36541
12705,01,36542
66,01,36543
12476,01,36544
9941,01,36545
1136,01,36548
4271,01,36549
217,01,36550
8258,01,36551
3575,01,36553
654,01,36555
308,01,36556
3854,01,36558
233,01,36559
3690,01,36560
5808,01,36561
1596,01,36562
107,01,36564
12672,01,36567
162,01,36568
928,01,36569
14423,01,36571
6340,01,36572
1341,01,36574
18345,01,36575
4143,01,36576
1749,01,36578
1590,01,36579
5420,01,36580
224,01,36581
24624,01,36582
639,01,36583
772,01,36584
972,01,36585
12053,01,36587
20,01,36590
1057,01,36602
7922,01,36603
10456,01,36604
30111,01,36605
18733,01,36606
6852,01,36607
36864,01,36608
25846,01,36609
13209,01,36610
6106,01,36611
4541,01,36612
12749,01,36613
391,01,36615
27,01,36616
13967,01,36617
16737,01,36618
14269,01,36619
659,01,36688
17847,01,36693
45118,01,36695
24268,01,36701
13643,01,36703
784,01,36720
472,01,36722
230,01,36723
4814,01,36726
61,01,36727
461,01,36728
8395,01,36732
1207,01,36736
952,01,36738
1328,01,36740
2554,01,36742
7419,01,36744
3260,01,36748
1089,01,36749
2901,01,36750
945,01,36751
1644,01,36752
85,01,36753
344,01,36754
6165,01,36756
1412,01,36758
1501,01,36759
1161,01,36761
139,01,36763
1294,01,36765
25,01,36766
2012,01,36767
1096,01,36768
3014,01,36769
512,01,36773
800,01,36775
1489,01,36776
2405,01,36782
945,01,36783
7754,01,36784
1165,01,36785
3365,01,36786
139,01,36790
1169,01,36792
568,01,36793
22214,01,36801
16861,01,36804
33201,01,36830
22071,01,36832
3150,01,36849
2630,01,36850
2129,01,36852
8269,01,36853
14576,01,36854
1551,01,36855
3719,01,36856
441,01,36858
34,01,36859
1580,01,36860
3264,01,36861
6623,01,36862
11672,01,36863
23,01,36865
3955,01,36866
22210,01,36867
18751,01,36869
18783,01,36870
1277,01,36871
7901,01,36874
4622,01,36875
11414,01,36877
2114,01,36879
329,01,36901
4098,01,36904
1930,01,36907
2417,01,36908
35,01,36910
2017,01,36912
53,01,36913
627,01,36915
709,01,36916
2143,01,36919
1035,01,36921
656,01,36922
3115,01,36925
51,01,38852
17603,02,99501
24168,02,99502
14563,02,99503
40914,02,99504
6174,02,99505
7749,02,99506
37850,02,99507
35857,02,99508
353,02,99510
0,02,99513
22441,02,99515
20095,02,99516
16645,02,99517
10225,02,99518
1316,02,99519
320,02,99540
326,02,99546
61,02,99547
73,02,99548
102,02,99549
197,02,99550
627,02,99551
346,02,99552
1027,02,99553
677,02,99554
221,02,99555
2510,02,99556
726,02,99557
85,02,99558
7632,02,99559
418,02,99561
938,02,99563
91,02,99564
78,02,99565
192,02,99566
9211,02,99567
279,02,99568
64,02,99569
