CodeInd2,2010pop,state,stateCode,zipCode,StateAbbr,2010.SSrecip,fips,IRS_rtrns
C0130165,70,Alabama,1,30165,AL,,,
C0131905,9,Alabama,1,31905,AL,,,
C0135004,10427,Alabama,1,35004,AL,1750,1,4753
C0135005,7942,Alabama,1,35005,AL,1905,1,3351
C0135006,3121,Alabama,1,35006,AL,875,1,1328
C0135007,26225,Alabama,1,35007,AL,3735,1,11579
C0135010,20816,Alabama,1,35010,AL,5050,1,9147
C0135013,124,Alabama,1,35013,AL,60,1,
C0135014,4546,Alabama,1,35014,AL,1045,1,1593
C0135016,16778,Alabama,1,35016,AL,4065,1,6974
C0135019,2117,Alabama,1,35019,AL,500,1,889
C0135020,27139,Alabama,1,35020,AL,6335,1,10816
C0135022,18888,Alabama,1,35022,AL,4210,1,9205
C0135023,25436,Alabama,1,35023,AL,5820,1,10284
C0135031,7933,Alabama,1,35031,AL,1850,1,3055
C0135032,66,Alabama,1,35032,AL,50,1,
C0135033,3403,Alabama,1,35033,AL,860,1,1297
C0135034,5541,Alabama,1,35034,AL,1025,1,1517
C0135035,1581,Alabama,1,35035,AL,320,1,539
C0135036,297,Alabama,1,35036,AL,80,1,
C0135040,14965,Alabama,1,35040,AL,2305,1,6644
C0135042,5831,Alabama,1,35042,AL,1530,1,2164
C0135043,9234,Alabama,1,35043,AL,1230,1,3980
C0135044,7713,Alabama,1,35044,AL,1890,1,3100
C0135045,14870,Alabama,1,35045,AL,2960,1,5560
C0135046,5108,Alabama,1,35046,AL,1595,1,2561
C0135049,3996,Alabama,1,35049,AL,825,1,1572
C0135051,8787,Alabama,1,35051,AL,1790,1,3255
C0135052,277,Alabama,1,35052,AL,135,1,
C0135053,2617,Alabama,1,35053,AL,760,1,999
C0135054,4101,Alabama,1,35054,AL,1170,1,1726
C0135055,19427,Alabama,1,35055,AL,4590,1,7609
C0135057,12630,Alabama,1,35057,AL,2690,1,4973
C0135058,9936,Alabama,1,35058,AL,2360,1,4111
C0135060,414,Alabama,1,35060,AL,155,1,
C0135061,1465,Alabama,1,35061,AL,500,1,679
C0135062,7944,Alabama,1,35062,AL,2165,1,3225
C0135063,3866,Alabama,1,35063,AL,975,1,1240
C0135064,11458,Alabama,1,35064,AL,2425,1,4850
C0135068,7232,Alabama,1,35068,AL,1295,1,3437
C0135070,265,Alabama,1,35070,AL,130,1,
C0135071,15661,Alabama,1,35071,AL,3660,1,7119
C0135072,5193,Alabama,1,35072,AL,1420,1,1672
C0135073,2382,Alabama,1,35073,AL,800,1,1041
C0135074,93,Alabama,1,35074,AL,140,1,
C0135077,13142,Alabama,1,35077,AL,3200,1,4992
C0135078,2082,Alabama,1,35078,AL,535,1,888
C0135079,8810,Alabama,1,35079,AL,1815,1,3375
C0135080,15881,Alabama,1,35080,AL,1720,1,6700
C0135082,7,Alabama,1,35082,AL,55,1,
C0135083,3268,Alabama,1,35083,AL,715,1,1205
C0135085,8933,Alabama,1,35085,AL,1860,1,3577
C0135087,2115,Alabama,1,35087,AL,495,1,837
C0135089,2238,Alabama,1,35089,AL,580,1,705
C0135091,2719,Alabama,1,35091,AL,385,1,986
C0135094,14212,Alabama,1,35094,AL,3230,1,6362
C0135096,7815,Alabama,1,35096,AL,1645,1,3197
C0135097,1748,Alabama,1,35097,AL,505,1,764
C0135098,1375,Alabama,1,35098,AL,320,1,552
C0135111,16140,Alabama,1,35111,AL,2825,1,6303
C0135112,801,Alabama,1,35112,AL,160,1,
C0135114,7172,Alabama,1,35114,AL,900,1,2663
C0135115,14118,Alabama,1,35115,AL,2370,1,5050
C0135116,4240,Alabama,1,35116,AL,1020,1,1907
C0135117,5367,Alabama,1,35117,AL,1320,1,2662
C0135118,3138,Alabama,1,35118,AL,945,1,1473
C0135119,116,Alabama,1,35119,AL,85,1,
C0135120,13842,Alabama,1,35120,AL,2270,1,5545
C0135121,15570,Alabama,1,35121,AL,3645,1,5942
C0135124,23020,Alabama,1,35124,AL,3350,1,10971
C0135125,10456,Alabama,1,35125,AL,2365,1,4282
C0135126,21725,Alabama,1,35126,AL,3940,1,9568
C0135127,10099,Alabama,1,35127,AL,2215,1,4391
C0135128,10197,Alabama,1,35128,AL,2015,1,3838
C0135130,3233,Alabama,1,35130,AL,915,1,1211
C0135131,4159,Alabama,1,35131,AL,925,1,1477
C0135133,3907,Alabama,1,35133,AL,890,1,1561
C0135135,1812,Alabama,1,35135,AL,400,1,785
C0135136,1796,Alabama,1,35136,AL,555,1,699
C0135139,150,Alabama,1,35139,AL,30,1,
C0135143,3281,Alabama,1,35143,AL,870,1,1180
C0135146,10948,Alabama,1,35146,AL,1905,1,4003
C0135147,5468,Alabama,1,35147,AL,775,1,2191
C0135148,2702,Alabama,1,35148,AL,1005,1,1153
C0135149,630,Alabama,1,35149,AL,235,1,
C0135150,18472,Alabama,1,35150,AL,5020,1,7279
C0135151,7632,Alabama,1,35151,AL,1815,1,2865
C0135160,26822,Alabama,1,35160,AL,6145,1,9578
C0135171,3281,Alabama,1,35171,AL,710,1,1358
C0135172,2986,Alabama,1,35172,AL,720,1,1161
C0135173,25176,Alabama,1,35173,AL,4525,1,11439
C0135175,5041,Alabama,1,35175,AL,1190,1,2149
C0135176,921,Alabama,1,35176,AL,210,1,374
C0135178,3378,Alabama,1,35178,AL,865,1,1456
C0135179,8958,Alabama,1,35179,AL,2120,1,3699
C0135180,13794,Alabama,1,35180,AL,3020,1,5583
C0135183,706,Alabama,1,35183,AL,235,1,301
C0135184,5841,Alabama,1,35184,AL,1355,1,2066
C0135186,4931,Alabama,1,35186,AL,1040,1,1898
C0135187,32,Alabama,1,35187,AL,145,1,
C0135188,2715,Alabama,1,35188,AL,555,1,1145
C0135203,3798,Alabama,1,35203,AL,625,1,1315
C0135204,10337,Alabama,1,35204,AL,2660,1,4306
C0135205,19686,Alabama,1,35205,AL,2365,1,8488
C0135206,17177,Alabama,1,35206,AL,3295,1,7155
C0135207,9010,Alabama,1,35207,AL,2420,1,3876
C0135208,14855,Alabama,1,35208,AL,3215,1,6929
C0135209,29544,Alabama,1,35209,AL,3145,1,12272
C0135210,13952,Alabama,1,35210,AL,2855,1,6641
C0135211,26236,Alabama,1,35211,AL,6640,1,11450
C0135212,11539,Alabama,1,35212,AL,1995,1,5100
C0135213,13185,Alabama,1,35213,AL,2650,1,6643
C0135214,19592,Alabama,1,35214,AL,4545,1,8663
C0135215,46951,Alabama,1,35215,AL,7815,1,20357
C0135216,36408,Alabama,1,35216,AL,5055,1,16533
C0135217,13729,Alabama,1,35217,AL,3300,1,5813
C0135218,7353,Alabama,1,35218,AL,1510,1,3067
C0135221,4834,Alabama,1,35221,AL,1420,1,2045
C0135222,7884,Alabama,1,35222,AL,1385,1,3867
C0135223,11043,Alabama,1,35223,AL,2000,1,5270
C0135224,6094,Alabama,1,35224,AL,1380,1,2539
C0135226,31471,Alabama,1,35226,AL,5610,1,14994
C0135228,10419,Alabama,1,35228,AL,2470,1,4700
C0135229,940,Alabama,1,35229,AL,,,
C0135233,1308,Alabama,1,35233,AL,45,1,536
C0135234,6311,Alabama,1,35234,AL,1455,1,2447
C0135235,19484,Alabama,1,35235,AL,3600,1,8914
C0135242,49545,Alabama,1,35242,AL,6400,1,23056
C0135243,17328,Alabama,1,35243,AL,3085,1,9021
C0135244,32390,Alabama,1,35244,AL,3965,1,14851
C0135254,1403,Alabama,1,35254,AL,,,
C0135401,39878,Alabama,1,35401,AL,4975,1,9853
C0135404,21251,Alabama,1,35404,AL,3740,1,7712
C0135405,37661,Alabama,1,35405,AL,6005,1,16709
C0135406,13864,Alabama,1,35406,AL,2465,1,6003
C0135441,1060,Alabama,1,35441,AL,330,1,451
C0135442,4972,Alabama,1,35442,AL,1420,1,2017
C0135443,2009,Alabama,1,35443,AL,465,1,688
C0135444,3699,Alabama,1,35444,AL,700,1,1461
C0135446,2234,Alabama,1,35446,AL,485,1,790
C0135447,3460,Alabama,1,35447,AL,835,1,1389
C0135452,3880,Alabama,1,35452,AL,895,1,1530
C0135453,11127,Alabama,1,35453,AL,2230,1,4571
C0135456,3759,Alabama,1,35456,AL,905,1,1703
C0135457,82,Alabama,1,35457,AL,20,1,
C0135458,594,Alabama,1,35458,AL,130,1,218
C0135459,872,Alabama,1,35459,AL,210,1,354
C0135460,834,Alabama,1,35460,AL,125,1,229
C0135461,1952,Alabama,1,35461,AL,530,1,766
C0135462,5061,Alabama,1,35462,AL,1420,1,1946
C0135463,1749,Alabama,1,35463,AL,425,1,764
C0135464,654,Alabama,1,35464,AL,140,1,230
C0135466,6075,Alabama,1,35466,AL,1505,1,2210
C0135469,221,Alabama,1,35469,AL,90,1,135
C0135470,5468,Alabama,1,35470,AL,1115,1,1923
C0135473,14909,Alabama,1,35473,AL,3040,1,6551
C0135474,6180,Alabama,1,35474,AL,1460,1,2599
C0135475,14507,Alabama,1,35475,AL,2555,1,6103
C0135476,8106,Alabama,1,35476,AL,1860,1,3783
C0135477,335,Alabama,1,35477,AL,70,1,
C0135480,1343,Alabama,1,35480,AL,320,1,597
C0135481,3668,Alabama,1,35481,AL,1170,1,1400
C0135490,3857,Alabama,1,35490,AL,700,1,1635
C0135501,10424,Alabama,1,35501,AL,2595,1,3886
C0135503,9068,Alabama,1,35503,AL,2425,1,3341
C0135504,13596,Alabama,1,35504,AL,3295,1,5120
C0135540,2415,Alabama,1,35540,AL,585,1,940
C0135541,3597,Alabama,1,35541,AL,935,1,1264
C0135542,1021,Alabama,1,35542,AL,345,1,414
C0135543,1137,Alabama,1,35543,AL,300,1,402
C0135544,673,Alabama,1,35544,AL,240,1,263
C0135545,100,Alabama,1,35545,AL,45,1,
C0135546,3901,Alabama,1,35546,AL,1030,1,1404
C0135548,1558,Alabama,1,35548,AL,540,1,634
C0135549,4341,Alabama,1,35549,AL,1345,1,1390
C0135550,5605,Alabama,1,35550,AL,1610,1,1978
C0135552,1044,Alabama,1,35552,AL,300,1,356
C0135553,4680,Alabama,1,35553,AL,1235,1,1709
C0135554,1186,Alabama,1,35554,AL,310,1,419
C0135555,10177,Alabama,1,35555,AL,2995,1,3699
C0135559,57,Alabama,1,35559,AL,70,1,
C0135563,4340,Alabama,1,35563,AL,1165,1,1540
C0135564,2361,Alabama,1,35564,AL,710,1,782
C0135565,13485,Alabama,1,35565,AL,3570,1,4938
C0135570,11145,Alabama,1,35570,AL,3030,1,3995
C0135571,895,Alabama,1,35571,AL,240,1,342
C0135572,1131,Alabama,1,35572,AL,280,1,370
C0135574,1507,Alabama,1,35574,AL,460,1,559
C0135575,1018,Alabama,1,35575,AL,325,1,360
C0135576,3217,Alabama,1,35576,AL,925,1,1144
C0135577,38,Alabama,1,35577,AL,25,1,
C0135578,5833,Alabama,1,35578,AL,1535,1,1925
C0135579,3136,Alabama,1,35579,AL,855,1,1192
C0135580,3791,Alabama,1,35580,AL,1175,1,1449
C0135581,5778,Alabama,1,35581,AL,1400,1,1983
C0135582,4093,Alabama,1,35582,AL,1205,1,1788
C0135584,460,Alabama,1,35584,AL,215,1,
C0135585,1418,Alabama,1,35585,AL,400,1,627
C0135586,4469,Alabama,1,35586,AL,1335,1,1632
C0135587,1025,Alabama,1,35587,AL,285,1,331
C0135592,4664,Alabama,1,35592,AL,1260,1,1734
C0135593,1931,Alabama,1,35593,AL,530,1,678
C0135594,7794,Alabama,1,35594,AL,2115,1,2848
C0135601,34434,Alabama,1,35601,AL,6815,1,15496
C0135603,30545,Alabama,1,35603,AL,6060,1,13493
C0135610,2252,Alabama,1,35610,AL,505,1,741
C0135611,25251,Alabama,1,35611,AL,5395,1,10551
C0135613,20546,Alabama,1,35613,AL,3200,1,8071
C0135614,7456,Alabama,1,35614,AL,1495,1,2971
C0135615,68,Alabama,1,35615,AL,90,1,
C0135616,4043,Alabama,1,35616,AL,1285,1,1515
C0135618,1870,Alabama,1,35618,AL,585,1,832
C0135619,5135,Alabama,1,35619,AL,1105,1,2146
C0135620,8868,Alabama,1,35620,AL,1700,1,3566
C0135621,2852,Alabama,1,35621,AL,625,1,1140
C0135622,7388,Alabama,1,35622,AL,1605,1,2605
C0135630,32629,Alabama,1,35630,AL,7545,1,12535
C0135633,20877,Alabama,1,35633,AL,4715,1,8392
C0135634,9711,Alabama,1,35634,AL,2630,1,4384
C0135640,24267,Alabama,1,35640,AL,5300,1,10460
C0135643,2941,Alabama,1,35643,AL,850,1,1334
C0135645,14060,Alabama,1,35645,AL,2970,1,5541
C0135646,4635,Alabama,1,35646,AL,1350,1,1915
C0135647,1030,Alabama,1,35647,AL,235,1,416
C0135648,3635,Alabama,1,35648,AL,1020,1,1572
C0135649,68,Alabama,1,35649,AL,15,1,
C0135650,13971,Alabama,1,35650,AL,3430,1,5410
C0135651,1312,Alabama,1,35651,AL,300,1,461
C0135652,8190,Alabama,1,35652,AL,2175,1,3295
C0135653,11150,Alabama,1,35653,AL,2390,1,5677
C0135654,8685,Alabama,1,35654,AL,1775,1,3216
C0135660,9042,Alabama,1,35660,AL,2530,1,4106
C0135661,16617,Alabama,1,35661,AL,3860,1,7376
C0135670,7676,Alabama,1,35670,AL,1705,1,3147
C0135671,2107,Alabama,1,35671,AL,475,1,1050
C0135672,6445,Alabama,1,35672,AL,1555,1,2543
C0135673,8199,Alabama,1,35673,AL,1680,1,3368
C0135674,18475,Alabama,1,35674,AL,5020,1,7681
C0135677,1921,Alabama,1,35677,AL,485,1,731
C0135739,5146,Alabama,1,35739,AL,925,1,2041
C0135740,3482,Alabama,1,35740,AL,975,1,1401
C0135741,2933,Alabama,1,35741,AL,630,1,1381
C0135744,2570,Alabama,1,35744,AL,625,1,934
C0135745,288,Alabama,1,35745,AL,65,1,101
C0135746,856,Alabama,1,35746,AL,180,1,336
C0135747,5901,Alabama,1,35747,AL,1340,1,2243
C0135748,6276,Alabama,1,35748,AL,1280,1,2737
C0135749,20575,Alabama,1,35749,AL,2610,1,9549
C0135750,12783,Alabama,1,35750,AL,2315,1,5729
C0135751,265,Alabama,1,35751,AL,65,1,
C0135752,2047,Alabama,1,35752,AL,590,1,918
C0135754,5362,Alabama,1,35754,AL,1160,1,2276
C0135755,586,Alabama,1,35755,AL,210,1,230
C0135756,9016,Alabama,1,35756,AL,1080,1,4660
C0135757,12840,Alabama,1,35757,AL,1450,1,6076
C0135758,41875,Alabama,1,35758,AL,4420,1,19517
C0135759,6406,Alabama,1,35759,AL,1150,1,3156
C0135760,5065,Alabama,1,35760,AL,1050,1,2059
C0135761,11630,Alabama,1,35761,AL,1690,1,4927
C0135763,14216,Alabama,1,35763,AL,1990,1,6336
C0135764,653,Alabama,1,35764,AL,160,1,245
C0135765,4013,Alabama,1,35765,AL,970,1,1404
C0135766,150,Alabama,1,35766,AL,50,1,
C0135768,11581,Alabama,1,35768,AL,3195,1,4936
C0135769,9537,Alabama,1,35769,AL,2380,1,4007
C0135771,3645,Alabama,1,35771,AL,940,1,1401
C0135772,4908,Alabama,1,35772,AL,1190,1,1974
C0135773,13018,Alabama,1,35773,AL,2010,1,5309
C0135774,165,Alabama,1,35774,AL,35,1,
C0135775,636,Alabama,1,35775,AL,195,1,281
C0135776,3395,Alabama,1,35776,AL,800,1,1413
C0135801,21509,Alabama,1,35801,AL,4655,1,10002
C0135802,21297,Alabama,1,35802,AL,5040,1,10868
C0135803,25471,Alabama,1,35803,AL,4605,1,12519
C0135805,22498,Alabama,1,35805,AL,3080,1,10102
C0135806,18951,Alabama,1,35806,AL,2275,1,9150
C0135808,1946,Alabama,1,35808,AL,35,1,427
C0135810,30617,Alabama,1,35810,AL,6030,1,14135
C0135811,25955,Alabama,1,35811,AL,4625,1,12218
C0135816,15228,Alabama,1,35816,AL,2130,1,6178
C0135824,6070,Alabama,1,35824,AL,455,1,2988
C0135896,636,Alabama,1,35896,AL,,,
C0135901,20045,Alabama,1,35901,AL,4945,1,7476
C0135903,18088,Alabama,1,35903,AL,4620,1,7330
C0135904,14194,Alabama,1,35904,AL,3955,1,5559
C0135905,6410,Alabama,1,35905,AL,1765,1,2700
C0135906,9897,Alabama,1,35906,AL,2460,1,4359
C0135907,8345,Alabama,1,35907,AL,1770,1,3540
C0135950,20826,Alabama,1,35950,AL,4045,1,9867
C0135951,13098,Alabama,1,35951,AL,2405,1,4867
C0135952,7727,Alabama,1,35952,AL,1870,1,2661
C0135953,7319,Alabama,1,35953,AL,1815,1,2892
C0135954,12416,Alabama,1,35954,AL,3405,1,4900
C0135956,8842,Alabama,1,35956,AL,2025,1,3288
C0135957,15693,Alabama,1,35957,AL,3540,1,6795
C0135958,3582,Alabama,1,35958,AL,795,1,1237
C0135959,4836,Alabama,1,35959,AL,1445,1,1737
C0135960,10087,Alabama,1,35960,AL,2980,1,3688
C0135961,6514,Alabama,1,35961,AL,1240,1,2376
C0135962,8300,Alabama,1,35962,AL,1415,1,2694
C0135963,1704,Alabama,1,35963,AL,375,1,642
C0135966,3914,Alabama,1,35966,AL,865,1,1331
