zip,com_elecrate,ind_elecrate,res_elecrate
1001,14.9495,13.2245,16.7725
1002,15.555,14.997,15.7455
1003,15.081,14.037,16.059
1005,16.029,15.957,15.432
1007,15.555,14.997,15.7455
1008,15.081,14.037,16.059
1009,16.029,15.957,15.432
1010,16.029,15.957,15.432
1011,15.081,14.037,16.059
1012,15.555,14.997,15.7455
1013,15.081,14.037,16.059
1020,15.081,14.037,16.059
1022,15.555,14.997,15.7455
1026,15.555,14.997,15.7455
1027,15.555,14.997,15.7455
1028,15.555,14.997,15.7455
1029,15.081,14.037,16.059
1030,15.081,14.037,16.059
1031,16.029,15.957,15.432
1032,15.555,14.997,15.7455
1033,15.555,14.997,15.7455
1034,14.9495,13.2245,16.7725
1035,15.555,14.997,15.7455
1036,16.029,15.957,15.432
1037,16.029,15.957,15.432
1038,15.555,14.997,15.7455
1039,15.555,14.997,15.7455
1040,15.081,14.037,16.059
1050,15.081,14.037,16.059
1053,16.029,15.957,15.432
1054,15.555,14.997,15.7455
1056,15.555,14.997,15.7455
1057,16.029,15.957,15.432
1060,15.555,14.997,15.7455
1062,15.555,14.997,15.7455
1063,16.029,15.957,15.432
1068,16.029,15.957,15.432
1069,16.029,15.957,15.432
1070,15.555,14.997,15.7455
1071,15.081,14.037,16.059
1072,15.555,14.997,15.7455
1073,15.081,14.037,16.059
1074,16.029,15.957,15.432
1075,15.555,14.997,15.7455
1077,14.9495,13.2245,16.7725
1079,16.029,15.957,15.432
1080,16.029,15.957,15.432
1081,16.029,15.957,15.432
1082,16.029,15.957,15.432
1083,16.029,15.957,15.432
1084,15.081,14.037,16.059
1085,15.081,14.037,16.059
1088,15.555,14.997,15.7455
1089,15.081,14.037,16.059
1092,16.029,15.957,15.432
1095,15.555,14.997,15.7455
1096,15.555,14.997,15.7455
1098,15.081,14.037,16.059
1103,15.081,14.037,16.059
1104,15.081,14.037,16.059
1105,15.081,14.037,16.059
1106,15.30933333,14.13533333,16.32566667
1107,15.081,14.037,16.059
1108,15.555,14.997,15.7455
1109,15.081,14.037,16.059
1118,15.555,14.997,15.7455
1119,15.081,14.037,16.059
1128,15.555,14.997,15.7455
1129,15.555,14.997,15.7455
1151,15.555,14.997,15.7455
1201,14.45366667,12.41433333,15.09
1220,15.555,14.997,15.7455
1222,15.4235,14.1845,16.459
1223,15.081,14.037,16.059
1224,15.081,14.037,16.059
1225,15.555,14.997,15.7455
1226,15.555,14.997,15.7455
1229,16.029,15.957,15.432
1230,15.555,14.997,15.7455
1235,15.081,14.037,16.059
1236,16.029,15.957,15.432
1237,15.555,14.997,15.7455
1238,15.555,14.997,15.7455
1240,15.555,14.997,15.7455
1242,15.555,14.997,15.7455
1243,15.081,14.037,16.059
1245,15.555,14.997,15.7455
1247,14.023,12.52233333,14.91566667
1253,15.081,14.037,16.059
1254,15.555,14.997,15.7455
1255,15.30933333,14.13533333,16.32566667
1256,15.555,14.997,15.7455
1257,16.029,15.957,15.432
1258,16.029,15.957,15.432
1259,15.30933333,14.13533333,16.32566667
1260,16.029,15.957,15.432
1262,16.029,15.957,15.432
1264,15.081,14.037,16.059
1266,15.555,14.997,15.7455
1267,13.457,11.428,14.43125
1270,15.555,14.997,15.7455
1301,15.081,14.037,16.059
1330,15.555,14.997,15.7455
1331,16.029,15.957,15.432
1337,12.59966667,9.918333333,14.09766667
1338,15.081,14.037,16.059
1339,15.555,14.997,15.7455
1340,15.555,14.997,15.7455
1341,15.555,14.997,15.7455
1342,15.081,14.037,16.059
1343,16.029,15.957,15.432
1344,15.555,14.997,15.7455
1346,16.029,15.957,15.432
1347,15.081,14.037,16.059
1349,15.555,14.997,15.7455
1350,13.494,11.765,14.344
1351,15.555,14.997,15.7455
1354,15.081,14.037,16.059
1355,15.555,14.997,15.7455
1360,13.936,12.61375,14.97225
1364,16.029,15.957,15.432
1366,16.029,15.957,15.432
1367,16.029,15.957,15.432
1368,14.852,14.4225,15.287
1370,15.555,14.997,15.7455
1373,15.081,14.037,16.059
1375,15.081,14.037,16.059
1376,15.081,14.037,16.059
1378,14.92833333,14.294,15.54433333
1379,16.029,15.957,15.432
1380,16.029,15.957,15.432
1420,17.5205,16.815,17.1545
1430,16.23866667,15.506,16.48366667
1431,16.3435,15.2805,17.0095
1432,16.029,15.957,15.432
1434,16.029,15.957,15.432
1436,16.029,15.957,15.432
1440,16.029,15.957,15.432
1450,17.5205,16.815,17.1545
1451,16.029,15.957,15.432
1452,16.029,15.957,15.432
1453,17.5205,16.815,17.1545
1460,17.691,17.972,17.8035
1462,17.5205,16.815,17.1545
1463,16.23866667,15.506,16.48366667
1464,16.029,15.957,15.432
1467,16.029,15.957,15.432
1468,16.029,15.957,15.432
1469,16.23866667,15.506,16.48366667
1473,17.5205,16.815,17.1545
1474,16.3435,15.2805,17.0095
1475,14.852,14.4225,15.287
1501,16.029,15.957,15.432
1503,16.029,15.957,15.432
1504,14.861,14.36,15.265
1505,16.029,15.957,15.432
1506,16.029,15.957,15.432
1507,16.029,15.957,15.432
1510,16.029,15.957,15.432
1515,16.029,15.957,15.432
1516,16.029,15.957,15.432
1518,16.029,15.957,15.432
1519,16.029,15.957,15.432
1520,16.029,15.957,15.432
1521,16.029,15.957,15.432
1522,16.029,15.957,15.432
1523,17.5205,16.815,17.1545
1524,16.029,15.957,15.432
1527,16.029,15.957,15.432
1529,16.029,15.957,15.432
1531,16.029,15.957,15.432
1532,16.029,15.957,15.432
1534,16.029,15.957,15.432
1535,16.029,15.957,15.432
1536,16.029,15.957,15.432
1537,16.029,15.957,15.432
1540,16.029,15.957,15.432
1541,16.029,15.957,15.432
1542,16.029,15.957,15.432
1543,16.029,15.957,15.432
1545,16.029,15.957,15.432
1550,16.029,15.957,15.432
1560,16.029,15.957,15.432
1561,16.029,15.957,15.432
1562,16.029,15.957,15.432
1564,16.029,15.957,15.432
1566,16.029,15.957,15.432
1568,17.691,17.972,17.8035
1569,16.029,15.957,15.432
1570,15.4235,14.1845,16.459
1571,15.4235,14.1845,16.459
1580,16.029,15.957,15.432
1581,17.691,17.972,17.8035
1583,16.029,15.957,15.432
1585,16.029,15.957,15.432
1588,16.029,15.957,15.432
1590,16.029,15.957,15.432
1602,16.029,15.957,15.432
1603,16.029,15.957,15.432
1604,16.029,15.957,15.432
1605,16.029,15.957,15.432
1606,16.029,15.957,15.432
1607,16.029,15.957,15.432
1608,16.029,15.957,15.432
1609,16.029,15.957,15.432
1610,16.029,15.957,15.432
1611,16.029,15.957,15.432
