zip,compid,compname,comrate,indrate,resrate
01001,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01001,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01002,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01002,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01003,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01005,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01007,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01007,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01008,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01009,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01010,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01011,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01012,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01012,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01013,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01020,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01022,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01022,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01026,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01026,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01027,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01027,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01028,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01028,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01029,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01030,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01031,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01032,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01032,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01033,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01033,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01034,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01034,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01035,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01035,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01036,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01037,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01038,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01038,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01039,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01039,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01040,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01050,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01053,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01054,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01054,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01056,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01056,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01057,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01060,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01060,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01062,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01062,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01063,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01068,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01069,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01070,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01070,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01071,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01072,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01072,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01073,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01074,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01075,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01075,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01077,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01077,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01079,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01080,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01081,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01082,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01083,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01084,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01085,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01088,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01088,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01089,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01092,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01095,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01095,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01096,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01096,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01098,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01103,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01104,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
