MarketName,Street,City,County,State,Zipcode,Longitude,Latitude
"""Y Not Wednesday Farmers Market at Town Center""","201 Market Street,",Virginia Beach,Virginia Beach,Virginia,23462,-76.135361,36.841885
10:10 Farmers Market,5960 Stewart Parkway,Douglasville,Douglas,Georgia,30135,-84.7689,33.7196
100-Mile Market,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007,-85.57502,42.29596
112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939
12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.534417,39.7421
14&U Farmers' Market,1400 U Street NW,Washington,District of Columbia,District of Columbia,20009,-77.03205,38.916998
17 on the Square,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,-77.2316,39.8313
175th Street Greenmarket,W 175 St. & Broadway,New York,New York,New York,10033,-73.9385,40.8462
17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044
17th Street Farmers Market,17th & Main Streets,Richmond,Henrico,Virginia,23219,-77.4886,37.5583
19th Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,-73.994358,40.404837
2012 Wood County Farmers' Market,555 W. Grand Ave.,Wisconsin Rapids,Wood,Wisconsin,54495,-89.83105,44.394902
22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.18142,39.93216
25th Avenue Farmers' Market,194 W 25th Avenue,San Mateo,San Mateo,California,94403,-122.3098753,37.5433429
29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373
2nd Street Public Market,2003 2nd Street,Tillamook,Tillamook,Oregon,97141,-123.844,45.4569
3 French Hens French Country Market,123 W. Illinois ave.,Morris,Grundy,Illinois,60450,-88.425153,41.356286
32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272
33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.18706,39.98867
38th & Meridian Farmers Market,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208,-86.15875,39.82604
3rd & Curry St. Farmers Market,3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257
3rd Street N (hwy 11) beside jack's Restaurant,3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554,-86.090988,34.019132
4th Street Farmers Market,315 East 4th St.,Larimer,,Colorado,,-105.073,40.3954
52 & Shadeland Avenue Farmers Market,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.8481
52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.22461,39.96498
57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.9858,40.7682
58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228324,39.935556
5th Street Farmers Market,5th and Main Street,Millersburg,Bourbon,Kentucky,40348,-84.1487,38.3004
61st Street Farmers Market,6100 S Blackstone,Chicago,Cook,Illinois,60637,-87.591308,41.784206
6701 Burnet Road Market,6701 Burnet Road Market,Austin,Austin,Texas,78757,-97.7018,30.4258
79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818
82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.9501,40.7737
84 west farmers market (Dothan),,Dothan,Houston,Alabama,,-85.450141,31.232699
8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.6626534,41.972837
92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.9464,40.7809
97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.967,40.7936
A Better Choice Bakery & Market,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.313066
A Kentucky Farmer's Market LLC,2349 S Hwy 127,Russell Springs,Russell,Kentucky,42642,-85.076795,37.032535
AAMC Farmers's Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006
Abacoa Town Center Green Market,"East of Donald Ross Road, Exit off I-95",Jupiter,Palm Beach,Florida,33478,-80.1296,26.8838
Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.380242,34.177429
ABBEVILLE FARMERS MARKET,100 COLUMBIA RD.,ABBEVILLE,HENRY,Alabama,36310,-85.2466,31.5633
Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.307145,44.945665
Abbott Northwestern Farmers Market,800 E 28th St,Minneapolis,Hennepin,Minnesota,,-93.2629,44.9556
Aberdeen Farmers Market,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631
Abilene Farmers Market,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153
Abingdon Farmers Market,Remsburg Drive and Cummings Street,Abingdon,Washington,Virginia,24210,-81.977406,36.708734
Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,-74.0053,40.7372
Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,-70.9369,42.119
Abington Farmers Market,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,,-75.7746,41.425
ABQ Uptown Growers' Market,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,-106.565838,35.103988
ABQ Uptown Growers' Market,1200 Block of Central Ave NE,Albuquerque,Bernalillo,New Mexico,,-106.633172,35.082375
ABV Farm Market,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343,-75.0998,40.8743
Acadia Farmers' Market in Town Hill,,Town Hill,Hancock,Maine,,-68.9716,44.5908
Acadiana Farmers Market,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,-92.0634,30.2147
Ace Farmers Market,115 Black River Blvd,Rome,Oneida,New York,,-75.4541,43.2098
Acme Ranch Truck Patch,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165
Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720,-71.47415,42.47518
Acushnet farmers market,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,-70.8999,41.7199
Acworth Farmers Market,Main and Lemon Streets,Acworth,Cobb,Georgia,,-84.6767,34.0657
Ada Farmer's Market,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,-96.6797,34.7739
Ada Farmers' Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.4889683,42.9553715
AdairCo Farmers Market,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,-85.297,37.1043
Adams County Farmers' Market Association,Gettysburg Recreation Park 545 Long Lane,Gettysburg,Adams,Pennsylvania,17325,-77.237298,39.825018
Adams County Farmers' Market Association,1863 Gettysburg Village Drive,Gettysburg,Adams,Pennsylvania,17325,-77.200397,39.793778
Adams Farmers Market,60 Columbia Street,Adams,,Massachusetts,1220,-73.1158,42.6293
Adams Morgan Farmers Market,18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,-77.0426,38.9226
Added Value Farm Stand at Governors Island,Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875
Addison Farmers Market,One Friendship Plaza,Addison,DuPage,Illinois,60101,-87.9934,41.9321
