STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
AK,ANCHOR POINT PUBLIC LIBRARY,72251 MILO FRITZ AVENUE,ANCHOR POINT,99556,KENAI PENINSULA,1287,1404,52,-151.71634,59.81351
AK,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,ANCHORAGE,17888,1840,40,-149.572388,61.328746
AK,MULDOON BRANCH LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,ANCHORAGE,8232,2346,52,-149.733412,61.21056
AK,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,99515,ANCHORAGE,10200,2346,52,-149.866937,61.14458
AK,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,ANCHORAGE,3938,1683,52,-149.166389,60.9425
AK,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,140000,3264,52,-149.876714,61.18792
AK,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,3041,500,50,-149.178545,64.34357
AK,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,BETHEL,3656,2458,52,-161.760222,60.77014
AK,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,6940,2568,52,-149.819317,61.55251
AK,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,1363,720,48,-148.677951,63.44362
AK,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,1000,483,48,-152.491432,57.74737
AK,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,ALEUTIANS EAST,1100,480,48,-161.128461,55.7397
AK,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,1320,1080,52,-150.134689,60.49075
AK,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,2800,2408,52,-145.766016,60.54801
AK,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,PR WALES-OUTER KE,1800,2268,52,-133.151451,55.47608
AK,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,SE FAIRBANK,5000,2912,52,-145.713082,64.03256
AK,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,DILLINGHAM,2430,2100,52,-158.466804,59.04026
AK,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,SE FAIRBANK,1500,704,51,-141.201813,64.78648
AK,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,NOME,1200,480,48,-162.260573,64.617499
AK,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,FAIRBANKS NORTH STAR,62100,3162,52,-147.73849,64.83845
AK,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,FAIRBANKS NORTH STAR,4200,1530,52,-147.350744,64.74943
AK,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,FAIRBANKS NORTH STAR,-3,1530,52,-147.73849,64.838451
AK,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,YUKON-KOYUKUK,1500,750,50,-154.720238,65.96966
AK,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,VALDEZ-CORDOVA,2000,1584,51,-146.369847,62.05552
AK,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,SKAGWAY-ANGOON,3052,1283,51,-136.855874,58.83307
AK,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,HAINES,8400,2938,52,-135.446889,59.2363
