State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
SOUTH CAROLINA,ABBEVILLE COUNTY,3245,3297,3533,3616,3680,1776,1755,1739,1766,1806,1816,1889,1925,1578,1567,1582,1670,1716,1714,1727,1750,3,3,3,2,3,5,0,0,10,8,10,14,13,11,9,6,43,45,35,50,43,44,48,40,1180,1186,1224,1369,1415,1408,1465,1505,2035,2005,1995,2001,2048,2062,2094,2124,2,1,1,†,†,81,74,53,†,†
LOUISIANA,ACADIA PARISH,9388,9334,9435,9479,9545,5185,5050,4984,4899,4818,4793,4816,4866,4746,4637,4603,4525,4552,4642,4663,4679,17,15,21,35,14,12,8,9,14,10,9,19,15,19,25,21,177,157,88,107,88,76,83,76,2635,2617,2616,2662,2721,2697,2687,2706,6786,6619,6630,6601,6532,6631,6676,6733,1,0,0,†,†,301,269,223,†,†
VIRGINIA,ACCOMACK COUNTY,5144,5193,5206,5370,5414,2727,2740,2710,2719,2739,2698,2791,2830,2404,2392,2378,2363,2429,2477,2550,2557,14,14,15,8,9,10,5,8,30,33,34,34,34,27,36,32,969,957,914,844,761,702,660,666,1940,1970,1943,1934,2012,2118,2250,2318,2147,2141,2171,2262,2352,2318,2390,2363,7,5,5,†,†,24,12,6,†,†
IDAHO,ADA COUNTY,69813,69036,67240,65298,62955,37963,37483,36529,35932,35606,34692,33784,32530,35964,35636,34869,33881,33430,32548,31514,30425,423,467,460,553,421,418,426,422,2044,2016,1947,2290,2274,2105,1921,1827,7011,6628,6318,6144,4792,4656,4238,3761,1340,1272,1295,1357,1479,1360,1203,1094,60921,60685,59510,59469,60070,58701,57510,55851,296,299,331,†,†,1892,1752,1537,†,†
IOWA,ADAIR COUNTY,953,949,956,995,1003,418,456,463,484,498,504,511,530,441,454,451,435,444,451,484,473,0,0,1,1,5,2,4,5,4,4,2,2,11,12,14,14,9,12,11,15,10,12,15,12,6,3,5,4,5,6,6,5,824,876,882,886,911,923,956,967,3,3,4,2,†,13,12,9,9,†
KENTUCKY,ADAIR COUNTY,2604,2547,2659,2605,2813,1404,1378,1325,1353,1272,1374,1314,1380,1275,1223,1255,1220,1169,1258,1263,1282,6,5,5,6,5,4,2,2,13,13,10,9,8,9,8,10,116,99,93,57,49,49,43,37,56,50,59,69,96,108,88,110,2431,2385,2380,2432,2283,2462,2436,2503,1,1,1,†,†,56,48,32,†,†
OKLAHOMA,ADAIR COUNTY,4849,4862,4828,4878,4859,2469,2390,2542,2524,2526,2552,2569,2563,2332,2201,2351,2325,2343,2338,2367,2364,3004,2764,3139,3334,3279,3285,3356,3325,33,33,32,39,43,52,42,43,366,408,303,221,207,184,191,199,7,8,6,6,7,11,7,13,1093,1087,1177,1249,1333,1358,1340,1347,1,1,1,†,†,297,290,235,†,†
MISSOURI,ADAIR COUNTY,3133,3071,3169,3111,3046,1647,1651,1632,1657,1631,1680,1643,1573,1471,1478,1455,1476,1440,1489,1468,1474,7,4,8,9,14,20,13,16,53,53,52,52,53,46,50,49,49,52,72,66,51,60,47,48,62,69,66,71,60,58,53,48,2886,2907,2866,2935,2893,2985,2948,2886,2,2,0,†,†,59,42,23,†,†
MISSISSIPPI,ADAMS COUNTY,3798,3835,3983,4130,4536,1922,1947,1978,2011,2009,2085,2179,2412,1847,1864,1891,1931,1979,2038,2126,2391,1,0,0,1,0,0,0,0,10,10,9,8,6,6,8,9,29,24,21,22,24,20,17,22,3339,3409,3477,3571,3630,3696,3830,4301,345,335,331,318,328,401,450,471,0,0,0,0,0,45,33,31,22,0
NORTH DAKOTA,ADAMS COUNTY,287,281,310,314,339,147,129,129,145,138,160,160,166,139,128,134,142,143,150,154,173,4,5,6,6,5,4,4,4,1,1,3,1,1,22,2,0,8,4,0,0,0,0,0,1,9,8,4,8,7,6,6,5,261,235,244,272,268,278,302,329,1,2,0,†,†,2,2,6,†,†
NEBRASKA,ADAMS COUNTY,4911,4799,4753,‡,4807,2619,‡,2519,2490,2397,2407,2307,2409,2298,‡,2288,2296,2277,2234,2124,2136,22,‡,25,37,34,26,38,37,65,‡,66,92,104,107,100,112,746,‡,687,660,599,555,452,469,72,‡,77,105,95,77,72,75,3910,‡,3865,3892,3842,3876,3769,3852,6,‡,8,†,†,96,‡,79,†,†
OHIO,ADAMS COUNTY,4934,5026,5022,5057,5110,2449,2428,2496,2467,2514,2488,2469,2503,2430,2420,2475,2436,2486,2512,2569,2584,2,2,2,5,4,7,6,5,6,7,5,4,5,8,11,10,37,35,31,12,14,14,9,13,21,23,20,14,13,14,12,14,4774,4731,4869,4868,4964,4957,5000,5045,1,2,2,†,†,38,48,42,†,†
PENNSYLVANIA,ADAMS COUNTY,14391,14313,14385,14793,14649,7150,7212,7293,7309,7219,7278,7379,7420,6906,6946,7051,7056,7086,7096,7233,7229,25,19,19,22,21,16,14,13,95,105,121,153,156,149,141,117,1608,1560,1493,1441,1349,1334,1252,1192,368,367,388,402,442,426,418,379,11813,12015,12279,12347,12337,12449,12787,12948,16,14,13,†,†,131,78,31,†,†
INDIANA,ADAMS COUNTY,4639,4724,4707,4758,4834,2180,2261,2292,2275,2303,2290,2336,2456,2211,2199,2244,2196,2271,2279,2301,2378,21,22,24,19,21,21,14,11,26,23,25,23,28,22,20,26,398,370,363,254,235,216,230,241,33,38,45,27,25,16,19,16,3851,3937,4016,4148,4265,4294,4354,4540,2,0,0,†,†,60,70,63,†,†
IOWA,ADAMS COUNTY,594,540,598,579,601,266,263,281,270,266,300,283,295,252,259,271,273,274,297,296,306,0,0,0,0,3,3,3,3,6,5,5,9,16,9,10,9,13,11,10,5,4,6,4,6,0,0,0,0,0,0,0,0,495,497,530,521,517,579,562,583,0,1,1,1,†,4,8,6,7,†
IDAHO,ADAMS COUNTY,417,483,478,490,496,189,196,210,209,306,248,243,257,201,204,204,208,177,230,247,239,4,2,0,2,5,4,6,5,4,3,3,7,8,8,5,7,21,19,15,14,19,12,12,15,0,0,0,1,2,5,2,2,355,371,393,393,449,449,465,467,4,5,3,†,†,2,0,0,†,†
ILLINOIS,ADAMS COUNTY,10015,9097,9563,9608,10302,4989,5138,4915,5007,4294,5044,5055,5240,4700,4846,4609,4631,4584,4754,4813,4956,8,8,9,10,11,10,15,15,66,73,73,71,57,59,55,61,129,131,92,97,73,90,94,86,677,685,562,615,501,642,653,722,8458,8775,8438,8845,8236,8997,9051,9312,4,3,0,†,†,347,309,350,†,†
COLORADO,ADAMS COUNTY,81661,79284,75774,74157,73328,46982,46735,45416,43943,42350,39920,38989,37749,45074,44623,43127,41833,40629,38364,37065,35885,638,711,631,853,729,761,735,795,3211,3167,2049,3458,3351,3133,3005,2967,46779,45195,43376,39944,38569,36103,35008,33322,2694,2681,2056,2890,2812,3009,2633,2689,36806,37992,39190,38631,37518,35278,34673,33861,160,157,118,†,†,1768,1455,1123,†,†
WASHINGTON,ADAMS COUNTY,4307,4162,4038,3944,3937,2339,2275,2312,2229,2129,1976,2014,2025,2172,2151,2117,2064,2026,1932,1924,1908,10,10,10,23,22,21,26,23,22,16,23,36,28,27,21,26,3464,3342,3304,3122,2940,2807,2679,2641,8,6,4,15,16,18,18,20,979,1023,1053,1097,1149,1035,1194,1223,2,0,0,†,†,26,29,35,†,†
WISCONSIN,ADAMS COUNTY,1810,1833,3568,3625,3676,857,893,946,924,995,1036,1007,1044,824,849,874,886,929,961,951,927,14,19,19,20,36,29,24,25,3,5,8,6,7,7,7,5,113,81,82,86,89,95,95,90,24,22,26,23,20,23,23,14,1517,1606,1680,1675,1772,1843,1809,1837,2,3,3,†,†,8,6,2,†,†
VERMONT,ADDISON COUNTY,4940,5105,5351,5419,5451,2574,2495,2434,2458,2547,2660,2635,2755,2284,2222,2229,2298,2393,2495,2541,2679,3,1,1,1,0,0,0,0,51,41,38,34,34,46,41,49,64,52,49,40,28,29,27,34,44,46,39,34,38,46,40,46,4627,4514,4473,4589,4784,5034,5068,5305,9,8,9,10,11,60,55,54,48,45
SOUTH CAROLINA,AIKEN COUNTY,24632,24687,24806,25028,24799,12453,12475,12596,12480,12539,12426,12833,12638,11608,11616,11759,11739,11699,11629,12195,12092,62,59,50,57,61,61,63,59,181,162,159,197,207,210,184,187,1715,1595,1499,1309,1205,1138,1143,1040,7987,8014,8060,8551,8449,8609,8934,8868,13389,13572,14048,14105,14316,14037,14704,14576,23,23,19,†,†,704,666,520,†,†
MINNESOTA,AITKIN COUNTY,2029,2024,2086,2084,2118,1034,1028,1044,1031,1043,1088,1094,1125,961,956,990,987,970,990,990,994,112,107,98,107,107,136,91,100,4,4,5,9,12,13,20,18,28,26,24,21,26,17,10,8,25,24,24,29,28,20,21,17,1794,1801,1861,1852,1840,1892,1942,1976,2,2,2,†,†,30,20,20,†,†
FLORIDA,ALACHUA COUNTY,28922,28698,29540,30153,30277,14744,14617,14531,13855,13875,14438,14771,15537,14228,14017,14063,13398,13285,13653,14066,14740,61,63,65,57,66,77,72,69,1251,1183,48,1202,1177,1167,1127,1054,2491,2329,2219,1871,1818,1833,1780,1678,10311,10159,10070,10302,10104,10604,10925,11540,13258,13402,13694,13821,13995,14410,14933,15936,39,40,5,†,†,1561,1458,2493,†,†
NORTH CAROLINA,ALAMANCE COUNTY,23918,23653,23835,23875,23191,12303,12362,12157,12054,11994,11862,11803,11797,11706,11712,11731,11703,11645,11072,11236,11394,106,95,101,87,77,83,83,76,300,304,308,338,311,332,311,303,5196,4986,4784,4128,3904,3814,3630,3317,4913,4996,5003,6191,6161,5314,5340,5987,12660,12873,12964,13013,13186,13391,13675,13508,30,30,26,†,†,804,790,702,†,†
CALIFORNIA,ALAMEDA COUNTY,214491,214948,213691,213378,214314,52027,111354,109819,108693,110166,105016,106172,106726,48385,105654,103921,102792,104065,98860,99812,100758,368,916,938,937,930,977,1037,1136,26288,58324,56670,55592,55612,56966,56544,55663,34934,69365,66086,63282,61410,60412,59258,58424,13466,29286,29565,30665,32437,33565,35543,37074,19748,47651,48557,48636,50245,51956,53602,55187,1313,2910,2922,3012,3235,4295,8556,9002,9361,10362
COLORADO,ALAMOSA COUNTY,2369,2436,2477,2483,2593,1193,1234,1220,1222,1259,1250,1290,1348,1195,1174,1173,1147,1177,1227,1193,1245,14,16,11,18,32,27,24,28,25,22,21,25,38,33,31,29,1455,1431,1418,1329,1341,1338,1341,1385,14,10,10,13,15,16,12,16,852,893,919,984,1010,1063,1075,1135,4,5,7,†,†,24,31,7,†,†
NEW YORK,ALBANY COUNTY,40645,41335,41907,41092,42900,20017,17508,18062,20931,20769,23119,20852,21862,19371,16905,17213,19845,19604,20199,19932,20382,55,65,84,102,89,126,196,92,2669,1952,1921,2286,2067,1904,1751,1703,2664,2334,2160,2294,2096,2570,1887,1844,8372,8218,8791,9197,8583,10147,8535,8939,24576,21078,21900,26897,27538,28571,28415,29666,37,22,0,†,†,1015,744,419,†,†
