Black,Multiple,Population,White,Total_Race_Count,Other,Native_Hawaiian_Other_Pacific,Asian,American_Indian_and_Alaskan_Native,state,zip code tabulation area
4,0,70,66,70,0,0,0,0,01,30165
2,0,9,2,9,0,1,0,4,01,31905
934,150,10427,9067,10427,75,0,167,34,01,35004
2993,85,7942,4720,7942,83,2,18,41,01,35005
168,33,3121,2891,3121,5,0,1,23,01,35006
3495,434,26225,20700,26225,1278,8,209,101,01,35007
6008,186,20816,13722,20816,672,17,154,57,01,35010
3,0,124,97,124,20,0,4,0,01,35013
2213,46,4546,2260,4546,15,0,4,8,01,35014
27,234,16778,16138,16778,158,8,86,127,01,35016
18,20,2117,2014,2117,29,2,5,29,01,35019
20397,229,27139,5075,27139,1295,0,23,120,01,35020
6780,189,18888,11317,18888,424,0,124,54,01,35022
5919,225,25436,18921,25436,196,5,95,75,01,35023
25,109,7933,7371,7933,340,20,19,49,01,35031
8,7,66,47,66,4,0,0,0,01,35032
13,24,3403,3345,3403,3,1,8,9,01,35033
3051,28,5541,2428,5541,24,3,3,4,01,35034
245,34,1581,1283,1581,6,0,0,13,01,35035
110,6,297,177,297,3,0,1,0,01,35036
2896,271,14965,11255,14965,411,5,90,37,01,35040
1053,62,5831,4577,5831,92,10,12,25,01,35042
450,107,9234,8415,9234,101,10,114,37,01,35043
2610,117,7713,4898,7713,37,0,27,24,01,35044
2099,183,14870,11781,14870,683,10,72,42,01,35045
39,53,5108,4920,5108,58,1,6,31,01,35046
26,43,3996,3741,3996,165,0,9,12,01,35049
1201,105,8787,7259,8787,168,4,26,24,01,35051
5,0,277,272,277,0,0,0,0,01,35052
1,19,2617,2561,2617,10,1,7,18,01,35053
172,51,4101,3831,4101,16,0,21,10,01,35054
151,212,19427,18165,19427,668,3,147,81,01,35055
31,118,12630,12172,12630,170,1,36,102,01,35057
34,108,9936,9311,9936,388,5,52,38,01,35058
287,6,414,115,414,2,0,0,4,01,35060
1293,11,1465,153,1465,7,0,0,1,01,35061
198,50,7944,7626,7944,19,3,6,42,01,35062
63,47,3866,3712,3866,18,0,6,20,01,35063
10843,51,11458,475,11458,81,3,1,4,01,35064
1265,145,7232,5327,7232,379,10,68,38,01,35068
1,1,265,260,265,1,0,0,2,01,35070
1259,161,15661,13925,15661,92,3,179,42,01,35071
1977,54,5193,3113,5193,22,0,5,22,01,35072
558,37,2382,1760,2382,9,1,4,13,01,35073
1,0,93,92,93,0,0,0,0,01,35074
570,181,13142,12047,13142,242,1,52,49,01,35077
466,29,2082,1548,2082,19,1,11,8,01,35078
113,125,8810,8463,8810,49,3,13,44,01,35079
1563,209,15881,13584,15881,233,6,245,41,01,35080
0,0,7,7,7,0,0,0,0,01,35082
7,39,3268,3148,3268,51,4,3,16,01,35083
695,99,8933,7524,8933,557,9,19,30,01,35085
1,42,2115,1975,2115,74,0,1,22,01,35087
1059,28,2238,1114,2238,33,0,2,2,01,35089
50,16,2719,2632,2719,7,0,10,4,01,35091
1735,269,14212,11609,14212,452,13,81,53,01,35094
1566,136,7815,5982,7815,66,0,24,41,01,35096
22,13,1748,1685,1748,19,0,0,9,01,35097
3,11,1375,1330,1375,23,0,0,8,01,35098
1759,157,16140,13972,16140,116,7,93,36,01,35111
189,29,801,558,801,5,0,17,3,01,35112
824,103,7172,5913,7172,215,1,80,36,01,35114
2351,212,14118,10829,14118,631,1,50,44,01,35115
36,26,4240,4132,4240,15,0,7,24,01,35116
91,38,5367,5193,5367,12,1,14,18,01,35117
378,23,3138,2708,3138,12,0,0,17,01,35118
61,2,116,53,116,0,0,0,0,01,35119
904,163,13842,12514,13842,137,11,56,57,01,35120
431,168,15570,13408,15570,1442,7,41,73,01,35121
1579,351,23020,18917,23020,1492,14,594,73,01,35124
946,194,10456,9094,10456,133,8,34,47,01,35125
2824,225,21725,18205,21725,304,4,95,68,01,35126
4522,72,10099,5428,10099,22,2,18,35,01,35127
1170,107,10197,8739,10197,73,14,69,25,01,35128
219,39,3233,2947,3233,3,0,5,20,01,35130
286,45,4159,3777,4159,40,1,5,5,01,35131
21,48,3907,3780,3907,27,1,12,18,01,35133
225,15,1812,1550,1812,3,0,16,3,01,35135
312,8,1796,1468,1796,4,0,1,3,01,35136
3,3,150,139,150,0,0,0,5,01,35139
93,41,3281,3104,3281,30,0,3,10,01,35143
1277,93,10948,9424,10948,83,4,32,35,01,35146
306,69,5468,4903,5468,62,3,104,21,01,35147
106,43,2702,2521,2702,14,1,8,9,01,35148
146,10,630,470,630,1,1,0,2,01,35149
5502,219,18472,12342,18472,271,0,76,62,01,35150
862,86,7632,6610,7632,35,0,8,31,01,35151
11323,340,26822,14683,26822,299,2,97,78,01,35160
178,27,3281,2902,3281,154,1,15,4,01,35171
61,19,2986,2837,2986,40,0,6,23,01,35172
1499,221,25176,22869,25176,168,19,347,53,01,35173
24,62,5041,4848,5041,33,0,21,53,01,35175
0,8,921,905,921,5,0,1,2,01,35176
731,39,3378,2583,3378,5,0,8,12,01,35178
22,84,8958,8707,8958,84,0,22,39,01,35179
553,187,13794,12934,13794,32,7,31,50,01,35180
4,10,706,684,706,5,0,1,2,01,35183
449,43,5841,5297,5841,36,0,3,13,01,35184
241,54,4931,4531,4931,74,3,9,19,01,35186
26,0,32,6,32,0,0,0,0,01,35187
132,21,2715,2537,2715,19,0,2,4,01,35188
2514,45,3798,1176,3798,29,0,16,18,01,35203
9534,76,10337,328,10337,376,1,10,12,01,35204
6561,335,19686,10929,19686,937,7,836,81,01,35205
13151,178,17177,3534,17177,192,7,68,47,01,35206
8335,54,9010,509,9010,95,8,1,8,01,35207
13854,83,14855,766,14855,119,2,9,22,01,35208
8413,425,29544,18224,29544,1815,27,562,78,01,35209
4311,197,13952,8627,13952,617,1,165,34,01,35210
23823,203,26236,1753,26236,94,3,315,45,01,35211
8220,122,11539,2567,11539,531,10,61,28,01,35212
1073,98,13185,11831,13185,56,0,116,11,01,35213
15032,166,19592,4162,19592,163,1,36,32,01,35214
31649,598,46951,12984,46951,1427,21,176,96,01,35215
6901,509,36408,25051,36408,2280,9,1537,121,01,35216
8367,166,13729,4480,13729,559,48,40,69,01,35217
6858,60,7353,280,7353,125,0,9,21,01,35218
4680,34,4834,101,4834,13,2,1,3,01,35221
2968,93,7884,4624,7884,103,1,81,14,01,35222
102,66,11043,10708,11043,27,0,129,11,01,35223
3922,71,6094,2034,6094,35,0,10,22,01,35224
2691,411,31471,26350,31471,310,4,1659,46,01,35226
9142,94,10419,1088,10419,67,1,14,13,01,35228
51,2,940,876,940,1,0,8,2,01,35229
338,57,1308,800,1308,4,0,102,7,01,35233
5588,43,6311,559,6311,94,10,11,6,01,35234
9111,257,19484,9651,19484,199,3,218,45,01,35235
3963,624,49545,42306,49545,790,17,1750,95,01,35242
562,188,17328,16015,17328,119,5,394,45,01,35243
4719,506,32390,24837,32390,405,5,1844,74,01,35244
229,39,1403,1079,1403,10,1,42,3,01,35254
18391,361,39878,19805,39878,387,15,838,81,01,35401
9136,309,21251,10799,21251,730,7,191,79,01,35404
16548,406,37661,19738,37661,449,1,443,76,01,35405
1007,145,13864,12074,13864,201,0,411,26,01,35406
598,2,1060,458,1060,0,0,0,2,01,35441
3890,49,4972,998,4972,30,0,3,2,01,35442
1783,11,2009,208,2009,5,0,0,2,01,35443
211,43,3699,3393,3699,28,0,7,17,01,35444
305,23,2234,1856,2234,39,0,0,11,01,35446
1722,94,3460,1578,3460,62,0,0,4,01,35447
86,30,3880,3646,3880,92,3,14,9,01,35452
1690,133,11127,8975,11127,257,0,30,42,01,35453
600,42,3759,3056,3759,44,0,7,10,01,35456
5,5,82,71,82,1,0,0,0,01,35457
60,8,594,501,594,17,0,7,1,01,35458
613,1,872,258,872,0,0,0,0,01,35459
