zip_code,latitude,longitude
98391,47.172383,-122.174216
92395,34.517792,-117.298964
49534,42.971016,-85.791080
10065,40.764253,-73.962466
85392,33.475819,-112.306754
03285,43.951748,-71.621646
85396,33.551108,-112.589754
81403,38.383633,-107.905781
34714,28.415230,-81.787918
01434,42.534958,-71.611484
67843,37.725000,-99.936000
39819,30.801718,-84.669779
39817,30.937890,-84.577250
39815,30.752640,-84.483314
39813,31.471968,-84.742364
39897,30.898307,-84.326560
21409,39.019922,-76.454498
80939,38.876515,-104.679189
89178,36.026015,-115.280108
80938,38.917097,-104.655141
23114,37.486450,-77.659282
03593,44.373208,-71.291620
92011,33.108559,-117.298979
92010,33.155588,-117.279445
49037,42.332676,-85.241162
93730,36.905141,-119.760045
97317,44.901494,-122.905573
60484,41.475228,-87.675181
78633,30.738703,-97.751678
85756,32.071354,-110.908940
94582,37.763537,-121.912060
33812,27.977430,-81.886486
85757,32.138874,-111.115018
32026,30.063900,-82.237300
85083,33.724766,-112.159099
86409,35.287352,-114.085266
39828,30.807208,-84.226816
74019,36.286417,-95.605874
17408,39.943596,-76.804015
85173,33.294207,-111.095483
39823,31.385900,-84.939675
98087,47.867462,-122.263248
39827,30.959038,-84.200274
39826,31.813314,-84.333344
39825,30.911391,-84.749908
39824,31.552822,-84.914669
19060,39.840388,-75.466471
27527,35.640522,-78.378520
93636,36.976845,-119.870140
95467,38.792546,-122.534984
92081,33.163050,-117.247481
34715,28.621672,-81.740656
85121,32.988970,-111.756750
85120,33.414893,-111.553493
85122,32.872889,-111.744927
46037,39.959407,-85.945746
48193,42.170286,-83.210728
85128,32.972309,-111.532687
85658,32.524914,-111.167824
39834,30.892060,-84.447715
49519,42.898562,-85.719226
39836,31.676319,-84.871078
39837,31.150888,-84.720733
31562,30.589068,-82.122769
53548,42.694544,-89.131905
85193,32.879395,-111.784708
33545,28.265774,-82.294969
80927,38.919076,-104.673160
34637,28.283592,-82.461176
80923,38.925208,-104.719354
60124,42.042966,-88.412258
93723,36.787860,-119.952447
60502,41.787699,-88.263672
34638,28.258250,-82.547342
05408,44.511264,-73.243959
60586,41.568611,-88.239197
60428,41.604156,-87.690937
60585,41.675819,-88.200216
89044,35.940321,-115.097277
94505,37.888748,-121.601998
81507,39.055363,-108.641315
55130,44.973752,-93.083074
85137,33.095479,-110.926785
85135,33.006827,-110.783809
85132,32.985160,-111.297855
85131,32.787571,-111.583698
03861,43.126468,-71.013397
85138,33.075263,-112.032976
85139,32.961890,-112.122167
39841,31.342818,-84.735775
39840,31.775674,-84.779240
22025,38.597162,-77.344420
39842,31.792464,-84.445200
39845,30.944134,-84.899086
39846,31.560136,-84.751806
22556,38.502596,-77.495303
22551,38.178874,-77.697837
37934,35.870594,-84.180338
91008,34.154308,-117.968588
60404,41.508966,-88.215990
89002,35.998478,-114.958900
93619,36.928825,-119.577571
32003,30.096584,-81.718908
89085,36.309560,-115.198032
83414,43.748639,-110.935969
83646,43.652122,-116.426272
98077,47.752374,-122.058564
80113,39.641366,-104.954591
85298,33.241865,-111.729147
85194,32.911196,-111.654148
18902,40.352724,-75.108594
39851,31.648189,-85.033722
34291,27.122444,-82.225944
60487,41.565198,-87.830812
17202,39.926268,-77.694286
39859,30.959640,-84.790264
33472,26.528134,-80.185124
33473,26.509038,-80.202273
85755,32.467676,-110.984872
33973,26.597670,-81.735454
48033,42.466061,-83.288855
60403,41.569640,-88.112957
33976,26.586381,-81.687654
85192,32.914817,-110.721406
33974,26.559548,-81.613016
06461,41.238246,-73.065889
89179,35.991082,-115.251368
89054,35.924785,-115.202005
92617,33.643014,-117.841949
46062,40.061958,-86.037265
92344,34.387229,-117.403127
29707,34.990010,-80.851832
50324,41.594270,-93.703647
60642,41.903287,-87.660576
94158,37.770812,-122.390740
84081,40.599394,-112.041675
85118,33.359389,-111.440265
60958,41.002761,-87.545816
28312,34.977950,-78.702008
90090,34.072662,-118.245296
68379,40.466859,-95.930448
33579,27.793967,-82.278888
85119,33.419778,-111.514859
99354,46.368554,-119.333397
85147,33.078389,-111.738656
33449,26.597547,-80.238442
77523,29.717741,-94.942237
39867,31.842472,-85.024706
39866,31.537995,-84.620502
89183,35.987793,-115.148167
39862,31.524876,-84.498279
39861,31.178255,-85.014334
77407,29.667837,-95.722106
80023,39.971644,-105.015644
39854,31.913001,-85.020766
89166,36.321918,-115.343066
89519,39.484951,-119.854377
85143,33.128750,-111.605343
33966,26.579592,-81.828676
33967,26.468551,-81.814248
73025,35.731483,-97.574914
63368,38.747648,-90.742849
86315,34.678697,-112.294284
92637,33.607122,-117.731077
85295,33.306770,-111.743248
61705,40.457901,-89.046602
34212,27.491738,-82.399122
36421,31.335360,-86.408769
77498,29.639836,-95.651065
78542,26.354682,-98.112012
25403,39.483394,-78.004431
25404,39.484318,-77.894696
25405,39.408410,-77.961588
