zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
1001,25,58733,59253.44216,-520.4421642,520.4421642
1002,25,54422,66747.21833,-12325.21833,12325.21833
1007,25,71875,81702.10886,-9827.108861,9827.108861
1008,25,71635,68283.34201,3351.657993,3351.657993
1009,25,38644,59253.44216,-20609.44216,20609.44216
1010,25,81196,81702.10886,-506.1088608,506.1088608
1011,25,64891,57670.76667,7220.233333,7220.233333
1012,25,58750,72575.51374,-13825.51374,13825.51374
1013,25,41273,41685.6773,-412.6772983,412.6772983
1020,25,51255,52754.76619,-1499.766187,1499.766187
1022,25,58938,57670.76667,1267.233333,1267.233333
1026,25,52155,67119.72857,-14964.72857,14964.72857
1027,25,59963,67119.72857,-7156.728571,7156.728571
1028,25,80469,81702.10886,-1233.108861,1233.108861
1030,25,71228,72575.51374,-1347.513736,1347.513736
1031,25,42404,59253.44216,-16849.44216,16849.44216
1032,25,61806,66747.21833,-4941.218329,4941.218329
1033,25,73816,72575.51374,1240.486264,1240.486264
1034,25,77500,72575.51374,4924.486264,4924.486264
1036,25,81130,81702.10886,-572.1088608,572.1088608
1037,25,84444,59253.44216,25190.55784,25190.55784
1038,25,61603,74586.77778,-12983.77778,12983.77778
1040,25,31628,41685.6773,-10057.6773,10057.6773
1050,25,56184,59253.44216,-3069.442164,3069.442164
1053,25,64896,72575.51374,-7679.513736,7679.513736
1054,25,73000,86257.43155,-13257.43155,13257.43155
1056,25,61073,59253.44216,1819.557836,1819.557836
1062,25,65756,72575.51374,-6819.513736,6819.513736
1069,25,53417,59253.44216,-5836.442164,5836.442164
1070,25,63889,67119.72857,-3230.728571,3230.728571
1071,25,75363,68283.34201,7079.657993,7079.657993
1072,25,66705,81702.10886,-14997.10886,14997.10886
1073,25,80000,81702.10886,-1702.108861,1702.108861
1075,25,61431,59253.44216,2177.557836,2177.557836
1077,25,78476,68283.34201,10192.65799,10192.65799
1080,25,40559,41685.6773,-1126.677298,1126.677298
1081,25,56726,59253.44216,-2527.442164,2527.442164
1082,25,51717,59253.44216,-7536.442164,7536.442164
1083,25,39521,47083.97236,-7562.972357,7562.972357
1084,25,51667,67119.72857,-15452.72857,15452.72857
1085,25,59881,59253.44216,627.5578358,627.5578358
1088,25,43234,66747.21833,-23513.21833,23513.21833
1089,25,54126,52754.76619,1371.233813,1371.233813
1092,25,55370,59253.44216,-3883.442164,3883.442164
1093,25,83750,74586.77778,9163.222222,9163.222222
1094,25,18241,59253.44216,-41012.44216,41012.44216
1096,25,65365,72575.51374,-7210.513736,7210.513736
1097,25,42031,59253.44216,-17222.44216,17222.44216
1098,25,69079,67119.72857,1959.271429,1959.271429
1103,25,14133,26492.03006,-12359.03006,12359.03006
1104,25,32273,35005.08299,-2732.082988,2732.082988
1105,25,18402,26492.03006,-8090.03006,8090.03006
1107,25,21737,26492.03006,-4755.03006,4755.03006
1109,25,33376,26492.03006,6883.96994,6883.96994
1118,25,62283,68283.34201,-6000.342007,6000.342007
1128,25,78864,68283.34201,10580.65799,10580.65799
1151,25,30043,35005.08299,-4962.082988,4962.082988
1201,25,42633,52754.76619,-10121.76619,10121.76619
1220,25,40443,41685.6773,-1242.677298,1242.677298
1222,25,75598,66747.21833,8850.781671,8850.781671
1223,25,54904,61723.9646,-6819.964602,6819.964602
1224,25,90223,49992.02349,40230.97651,40230.97651
1225,25,49788,61723.9646,-11935.9646,11935.9646
1226,25,51827,61723.9646,-9896.964602,9896.964602
1229,25,68125,49992.02349,18132.97651,18132.97651
1230,25,51467,66747.21833,-15280.21833,15280.21833
1237,25,71932,61723.9646,10208.0354,10208.0354
1238,25,59477,61723.9646,-2246.964602,2246.964602
1242,25,55167,49992.02349,5174.97651,5174.97651
1243,25,67411,49992.02349,17418.97651,17418.97651
1244,25,29125,49992.02349,-20867.02349,20867.02349
1245,25,52500,61723.9646,-9223.964602,9223.964602
1247,25,41103,49992.02349,-8889.02349,8889.02349
1253,25,67917,61723.9646,6193.035398,6193.035398
1256,25,56500,61723.9646,-5223.964602,5223.964602
1258,25,56607,86257.43155,-29650.43155,29650.43155
1259,25,70074,61723.9646,8350.035398,8350.035398
1260,25,74615,49992.02349,24622.97651,24622.97651
1264,25,70625,49992.02349,20632.97651,20632.97651
1266,25,76953,72575.51374,4377.486264,4377.486264
1267,25,72352,72575.51374,-223.5137363,223.5137363
1270,25,68456,68283.34201,172.6579926,172.6579926
1301,25,48319,52754.76619,-4435.766187,4435.766187
1331,25,50498,46295.85534,4202.144663,4202.144663
1337,25,58875,61723.9646,-2848.964602,2848.964602
1338,25,69886,61723.9646,8162.035398,8162.035398
1339,25,50536,61723.9646,-11187.9646,11187.9646
1344,25,57500,61723.9646,-4223.964602,4223.964602
1346,25,65000,72575.51374,-7575.513736,7575.513736
1349,25,50714,52754.76619,-2040.766187,2040.766187
1350,25,36875,49992.02349,-13117.02349,13117.02349
1351,25,70799,61723.9646,9075.035398,9075.035398
1354,25,74583,61723.9646,12859.0354,12859.0354
1355,25,68929,72575.51374,-3646.513736,3646.513736
1360,25,60608,61723.9646,-1115.964602,1115.964602
1364,25,45758,49992.02349,-4234.02349,4234.02349
